id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
885600,"Dunbar near UBC: Clean, comfortable + quiet",4693732,David & Patti,,Dunbar Southlands,49.24803,-123.18517,Entire home/apt,130,3,204,2021-11-29,1.91,1,244,11,21-156302
939882,The Nicola House in English bay,5066370,Myf,,West End,49.28649,-123.13458,Entire home/apt,164,2,136,2021-11-23,1.31,1,239,26,21-258834
958090,Private apartment-Yaletown Downtown,1200456,Nala,,Downtown,49.27744,-123.11524,Entire home/apt,506,30,10,2013-09-30,0.09,6,365,0,
961006,Oakridge Canada Line completely renovated home,5233549,Joyce,,Riley Park,49.23569,-123.10987,Entire home/apt,219,1,7,2017-07-21,0.07,4,0,0,20-185023
961831,Spacious Room in Character Home,3751879,Jayden,,Kitsilano,49.26648,-123.15939,Private room,90,4,16,2021-11-08,1.52,2,336,16,21-158105
980511,"261 Yaletown Studio at ""Space""",600607,Bruce,,Downtown,49.27489,-123.12654,Entire home/apt,72,30,8,2021-11-08,0.10,45,50,1,
994969,152 Studio (no Bedroom),600607,Bruce,,Downtown,49.28006,-123.12673,Entire home/apt,63,30,1,2013-09-17,0.01,45,50,0,
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,Bruce,,West End,49.28837,-123.12766,Entire home/apt,98,30,12,2020-10-17,0.12,45,26,0,
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Selina,,Downtown,49.27804,-123.12531,Entire home/apt,280,180,2,2014-05-23,0.02,2,365,0,
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!,5539641,Selina,,Downtown,49.27828,-123.12671,Entire home/apt,180,180,1,2013-06-02,0.01,2,365,0,
1012385,comfy stay in clean victorian house,5569906,Mark Anthony,,Mount Pleasant,49.25674,-123.0874,Entire home/apt,90,2,286,2021-12-07,2.73,1,118,22,21-156942
1021607,Deluxe Junior One Bedroom (2 Beds),5623565,Hajime,,Downtown,49.27747,-123.12098,Entire home/apt,60,30,101,2021-07-19,0.96,2,121,5,Exempt
1021669,Yaletown Deluxe Studio Condominium,5623565,Hajime,,Downtown,49.27703,-123.12692,Entire home/apt,60,30,141,2021-11-30,1.35,2,225,5,Exempt
1032892,Artist's Character home in 'hip' Commercial Drive,2378744,Lori,,Grandview-Woodland,49.27241,-123.06332,Private room,95,2,66,2021-10-26,0.63,1,334,11,21-156574
1109821,136 Lord Stanley Great price!,600607,Bruce,,West End,49.29258,-123.13446,Entire home/apt,71,30,11,2019-03-23,0.12,45,19,0,
1113551,Family-Friendly Kitsilano House with Mountain Views,5231060,Liz,,Kitsilano,49.26008,-123.15989,Entire home/apt,594,5,38,2021-09-04,0.37,1,83,2,21-157220
1118858,*Best choice in downtown-5 Stars * -3,70137,Kai,,West End,49.28239,-123.13021,Private room,65,30,59,2021-11-29,0.57,3,288,1,18-573700
1126273,Yaletown/Downtown  1 Bedroom Condo,254337,Edgar,,Downtown,49.28119,-123.12033,Entire home/apt,99,30,1,2019-07-08,0.03,2,303,0,
1141457,2 Bdrm in Strathcona,6067405,Paige And Grant,,Downtown Eastside,49.27925,-123.08814,Entire home/apt,100,3,267,2021-10-28,2.55,1,308,6,21-157329
1162198,Bright & Tidy Character Apartment,6366260,Mary,,Grandview-Woodland,49.2726,-123.06988,Private room,50,30,74,2021-10-01,0.73,1,313,1,
1178149,Cozy space in East Vancouver,6165412,Sylvia,,Hastings-Sunrise,49.26957,-123.04828,Entire home/apt,76,2,43,2021-10-27,1.03,1,86,7,21-156603
1206606,Luxury Spacious Condo by Kits Beach,6591521,Ellany,,Kitsilano,49.27271,-123.14924,Entire home/apt,155,31,72,2014-12-31,0.70,1,69,0,
1214617,Cool cozy suite on The Drive,6630357,Divina And Viv,,Grandview-Woodland,49.26731,-123.06909,Entire home/apt,149,3,194,2021-05-06,1.89,1,204,1,20-160210
1223989,Stunning Suite Heart of DT w/Parking and Office,6677154,Amanda,,Downtown,49.27843,-123.12901,Entire home/apt,130,90,101,2021-01-31,0.98,1,132,1,
1273760,Private Hotel-Style Suite in a Downtown Boutique High-Rise,6033,Cam,,Downtown,49.28478,-123.1192,Private room,150,2,457,2021-11-19,4.45,2,304,40,Exempt
1291394,Clean New Kits 3 bedroom/ 2bath!,7021457,Leila,,Kitsilano,49.26889,-123.18543,Entire home/apt,165,30,38,2018-05-31,0.37,2,22,0,18-549007
1316419,120 501 Pacific,600607,Bruce,,Downtown,49.28279,-123.1222,Entire home/apt,73,181,2,2014-07-01,0.02,45,333,0,
1316477,224 Yaletown Park.  Long term stay welcome,600607,Bruce,,Downtown,49.27859,-123.11993,Entire home/apt,82,90,7,2020-09-30,0.10,45,130,0,
1324743,Cosy 1 bedroom apt Mount Pleasant,7190610,Nathan,,Mount Pleasant,49.25909,-123.10415,Entire home/apt,74,3,16,2021-12-01,0.16,1,26,2,21-284805
1343411,Close to Anywhere: Location Location Location,6904778,Mari,,Downtown Eastside,49.27627,-123.10013,Entire home/apt,95,1,55,2020-11-22,0.72,1,0,0,18-615245
1343519,*Best choice in downtown-5 Stars* -1,70137,Kai,,West End,49.28247,-123.13068,Private room,65,30,65,2021-10-31,0.71,3,314,1,18-573700
1360765,Ultra Modern Apartment in Yaletow,7338933,Sadiq,,Downtown,49.284,-123.11432,Entire home/apt,97,30,112,2021-08-02,1.10,3,191,1,
1361276,Private space in heritage home in lovely area,1743089,Darren,,Kensington-Cedar Cottage,49.25808,-123.07538,Entire home/apt,150,14,16,2021-08-01,0.16,3,0,3,21-157024
1365609,AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,7336501,Maha,,West End,49.27932,-123.12911,Entire home/apt,178,4,118,2021-12-03,1.16,1,122,17,21-156227
1378220,QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,7465731,Brian,,West Point Grey,49.26026,-123.20135,Entire home/apt,96,1,76,2021-08-09,1.15,2,10,7,21-157286
1398788,Stunning 1 Bedroom Laneway,7554741,Ruth,,Arbutus Ridge,49.23968,-123.16762,Entire home/apt,104,31,89,2021-11-06,0.88,1,287,4,
1399744,Luxury 2 BDR With Wrap Around Deck,7560143,Sandy,,Mount Pleasant,49.26964,-123.11064,Entire home/apt,450,30,11,2021-11-30,0.12,1,244,3,
1417881,Renovated Character Home - 3 Bdrm,7499193,Tracey,,Grandview-Woodland,49.26732,-123.06827,Entire home/apt,399,6,42,2021-01-22,0.41,3,137,1,21-163606
1418910,Private Room - Commercial Drive,7499193,Tracey,,Grandview-Woodland,49.26583,-123.06897,Private room,99,4,142,2019-09-04,1.40,3,0,0,21-163606
1466647,One Bedroom & Secured Underground Parking,7856227,Christian,,Downtown Eastside,49.28164,-123.11006,Entire home/apt,199,30,14,2020-08-31,0.16,1,89,0,18-646182
1502887,244 -2 BEDROOM. WATER VIEW! 6 MONTH EXTENDED STAY,600607,Bruce,,Downtown,49.29014,-123.12716,Entire home/apt,94,180,5,2018-12-01,0.05,45,227,0,
1507975,Modern new room with private entry!,51695,Natasha & Paolo,,Riley Park,49.24882,-123.09121,Private room,81,3,277,2021-11-25,2.73,2,302,25,21-156914
1525113,"114 Studio ""West of Denman""",600607,Bruce,,West End,49.29101,-123.14085,Entire home/apt,71,30,11,2021-11-09,0.12,45,39,3,
1623556,Private top floor on vibrant Main St,8633501,Robin,,Riley Park,49.25259,-123.09292,Entire home/apt,91,1,261,2021-11-09,2.60,1,126,30,21-156908
1629480,Garden Suite-Quiet/Private&Central,8660533,Tracy And Richard,,Riley Park,49.25225,-123.10756,Entire home/apt,85,30,132,2021-04-30,1.43,1,173,3,
1657214,"Amazing 2000sqft Downtown loft, 3 patios + Parking",8784861,Dianna,,Downtown Eastside,49.28167,-123.10984,Entire home/apt,250,90,5,2021-05-08,0.05,1,254,1,
1703616,Beautiful Kitsilano Apartment..,8993938,James And Jewel,,Kitsilano,49.26548,-123.14579,Entire home/apt,121,31,0,,,1,334,0,
1717967,2 Bedroom Garden Flat - Main Street,9057463,Mary,,Riley Park,49.24778,-123.09867,Entire home/apt,150,2,276,2021-12-07,2.82,1,145,20,21-156738
1733307,DT Ocean view with luxury amenities and parking,9131888,Cindy,,Downtown,49.27781,-123.10637,Entire home/apt,169,1,9,2021-12-05,2.81,1,334,9,21-270672
1736349,Master bedroom + private bathroom + secure parking,6120439,Kerry,,Kensington-Cedar Cottage,49.25349,-123.07603,Private room,100,3,101,2019-09-01,1.30,2,0,0,21-157195
1768817,SoMa Suite - Main Street Cool,9041076,Lynn,,Riley Park,49.24489,-123.10302,Entire home/apt,126,30,66,2020-04-16,0.69,1,175,0,20-154624
1778529,Yaletown high rise studio,4795850,Nolan &  Michelle Musey,,Downtown,49.27695,-123.11922,Entire home/apt,78,30,123,2021-05-13,1.24,1,333,2,
1820919,Film Industry loves this house! 5 min to VGH,7281178,Jodi,,Mount Pleasant,49.2585,-123.11479,Entire home/apt,240,2,37,2021-08-28,0.41,1,132,3,18-632419
1830733,Cozy Retreat - Strathcona,9575419,Elana & Claudio,,Downtown Eastside,49.27866,-123.08627,Entire home/apt,125,2,246,2021-10-24,2.51,4,96,5,21-157183
1850984,Main Street loft w/ rooftop patio and view!,1007186,Bryn,,Strathcona,49.26772,-123.0975,Entire home/apt,250,3,22,2021-11-14,0.23,1,2,3,20-197406
1869071,156 One Bedroom in Downtown at The Electra,600607,Bruce,,Downtown,49.28216,-123.12438,Entire home/apt,88,30,3,2018-10-31,0.04,45,62,0,
1898584,Tinseltown Apartment,9862171,John,,Downtown,49.27915,-123.10642,Entire home/apt,68,30,33,2021-08-15,0.34,1,224,3,
1932171,Commercial Drive Garden Suite,5026894,Lois,,Grandview-Woodland,49.26861,-123.06666,Entire home/apt,97,31,11,2018-08-28,0.16,1,0,0,
1936740,Luxury affordable monthly stay in 1 BR,5510458,Alison,,Shaughnessy,49.25646,-123.14563,Entire home/apt,70,30,1,2017-06-11,0.02,1,225,0,
1950844,Stylish and Modern 2Bed West End Suite!,1469405,Phil,,West End,49.28954,-123.13711,Entire home/apt,94,1,78,2021-11-16,2.39,1,59,28,20-142112
1961440,Yaletown 1 Br Condo Monthly Only,878531,Samy,,Downtown,49.27336,-123.12771,Entire home/apt,127,30,1,2019-01-31,0.03,1,86,0,Exempt
1970354,Family friendly & centrally located,10174262,Tiffany & Michael,,Kerrisdale,49.22651,-123.14179,Entire home/apt,129,2,110,2021-08-07,1.17,1,209,5,21-156826
1995592,"Charming ""Kitsilano Family Place""",10285482,Allan And Ellen,,Kitsilano,49.263252,-123.164825,Private room,110,2,280,2021-12-01,2.87,1,210,26,21-156320
2003897,GREAT SUITE w GARDEN PATIO!  CENTRALLY LOCATED!!,10317553,Rita,,Fairview,49.26263,-123.11627,Entire home/apt,120,120,3,2014-02-03,0.03,1,132,0,
2008047,Amazing View from a Modern Loft,7745079,Chad,,Strathcona,49.28519,-123.09872,Entire home/apt,160,30,53,2018-08-19,0.58,1,365,0,18-579472
2011559,Sunny family-friendly house in Kits,9372276,Rica,,Kitsilano,49.26057,-123.15881,Entire home/apt,575,5,32,2021-08-28,0.48,1,64,5,21185395
2017305,Experience Vancouver on the Drive!,10374538,David,,Grandview-Woodland,49.26411,-123.06803,Entire home/apt,189,30,49,2018-09-10,0.52,3,0,0,
2033952,Beautiful Kitsilano - Covid-19 Safe,557301,Tyler,,Kitsilano,49.26715,-123.15325,Entire home/apt,99,2,6,2020-09-09,0.25,1,0,0,20162988
2041582,"Kitsilano Point, VERY CLEAN, welcoming and bright",1728615,Francois,,Kitsilano,49.2753,-123.14721,Entire home/apt,125,30,241,2021-07-27,2.62,1,225,1,20-160763
2042431,Yaletown 1BD Condo @ Homer & Robson,9582918,Sandy,,Downtown,49.28005,-123.11659,Entire home/apt,139,30,131,2021-11-23,1.37,1,347,6,
2046259,2 bdrm in COMPLETLY RENOVATED HOME BY CANADA LINE,5233549,Joyce,,Riley Park,49.23573,-123.10819,Entire home/apt,219,1,7,2018-07-24,0.11,4,0,0,20-185023
